x,y,z
-3.951689,-0.821259,-2.060217
-3.801561,-0.753564,-2.008396
-3.769080,-0.954830,-1.996308
-4.180276,-1.272939,-1.862696
-3.490804,-0.626315,-1.888026
-3.935695,-1.130555,-1.830791
-3.489331,-0.681880,-1.832692
-3.351659,0.129407,-1.812233
-4.022289,0.242896,-1.801571
-3.847081,0.805093,-1.824500
-3.923522,-1.397398,-1.754682
-3.967901,-1.184021,-1.788944
-3.419547,-0.879807,-1.793800
-4.182604,-0.744223,-1.762384
-3.970313,-0.636074,-1.771076
-3.773443,0.557517,-1.776732
-3.204192,-0.761516,-1.736052
-4.027037,-0.684190,-1.737192
-3.211211,-0.564891,-1.727692
-3.624362,-0.414662,-1.730527
-4.095611,-0.095442,-1.708161
-3.787013,0.275476,-1.718061
-3.727589,-1.309421,-1.678361
-3.484817,-1.114000,-1.671550
-4.197085,-1.025734,-1.686026
-3.220423,-0.816936,-1.697132
-3.614009,-0.721896,-1.664921
-3.293382,-0.595817,-1.658931
-3.312030,-0.297314,-1.656172
-3.230623,-0.216607,-1.684458
-2.885806,-0.111165,-1.664834
-3.082162,-0.050726,-1.653455
-3.962067,-0.047840,-1.693979
-3.489177,0.790865,-1.650875
-3.962138,-1.798765,-1.631440
-3.601035,-1.235935,-1.646003
-3.538435,-1.015760,-1.623887
-2.945513,-0.753017,-1.639444
-2.996110,-0.704687,-1.626472
-3.695299,-0.660303,-1.609623
-3.011093,-0.509996,-1.623415
-2.767935,-0.250721,-1.626141
-3.311616,0.069181,-1.649760
-2.979315,0.391623,-1.613535
-3.524022,1.434942,-1.607309
-3.854493,-1.890488,-1.577995
-4.292940,-1.834633,-1.558681
-4.207220,-1.762940,-1.573867
-3.784091,-1.706462,-1.572554
-4.070662,-1.678246,-1.556913
-3.682870,-1.632025,-1.560625
-3.592314,-1.561240,-1.553955
-3.443295,-1.541739,-1.571221
-3.373319,-1.477623,-1.574081
-3.272697,-1.411036,-1.554185
-3.426990,-1.157886,-1.577870
-3.565210,-1.051367,-1.555949
-3.252863,-1.033027,-1.557031
-3.893503,-0.935340,-1.573979
-3.368248,-0.944043,-1.564896
-3.106900,-0.536937,-1.578187
-4.249306,-0.487695,-1.591500
