x,y,z
1.345353,-0.957278,0.695664
1.161518,-1.114318,0.647778
1.330670,-0.942150,0.664801
1.112164,-1.179489,0.621789
1.061211,-1.227697,0.636288
1.323488,-0.822571,0.656307
1.368638,-0.712214,0.621781
0.980578,-1.241672,0.649295
1.205137,-0.926498,0.613952
1.366096,-0.652230,0.648408
1.152266,-0.960833,0.639619
1.456584,-0.363493,0.609820
1.450534,-0.344692,0.595371
1.532258,-0.332737,0.617401
1.274104,-0.907805,0.667628
1.091645,-1.023683,0.637174
1.124154,-0.941259,0.596680
1.151548,-0.957745,0.638284
1.496195,-0.491699,0.633252
1.349396,-0.330298,0.571760
1.509489,-0.422664,0.674786
1.495657,-0.352534,0.614556
0.715410,-1.221508,0.572767
1.217639,-0.667154,0.600514
1.433727,-0.300692,0.594520
1.436934,-0.312749,0.605616
1.053726,-0.764236,0.559150
1.040781,-0.527951,0.547266
1.367308,-0.321956,0.611533
1.254686,-0.286613,0.564109
1.437962,-0.102808,0.604216
1.330190,-0.267575,0.520500
1.297725,-0.354696,0.578215
1.338952,-0.208781,0.595277
1.136321,-0.463795,0.526169
1.309805,0.142062,0.536963
1.280648,-0.301385,0.586907
1.052217,-0.381950,0.542093
0.866851,-0.521165,0.478636
0.918732,-0.571503,0.542625
1.033774,-0.143475,0.505727
0.348805,-1.245920,0.410456
1.305122,0.131073,0.543330
0.845900,0.073477,0.332865
0.471064,-1.005394,0.422579
0.466091,-1.002551,0.416120
1.161202,0.311586,0.483955
1.074045,0.029645,0.505414
1.080922,0.207356,0.489397
1.100686,0.157660,0.520290
1.210633,0.320188,0.500797
1.089072,0.401577,0.461035
1.089823,0.398682,0.466850
1.087087,0.410239,0.459160
0.406490,-0.601204,0.346628
1.101743,0.381857,0.482569
0.136671,-0.664559,0.233683
0.971957,0.335649,0.440377
1.093107,0.392915,0.469471
0.762410,0.407353,0.394639
0.332045,-0.460217,0.284598
0.810236,0.337165,0.446172
1.050878,0.949119,0.411727
-0.197346,-0.898734,0.167701
0.467044,0.793629,0.292583
0.708253,1.148241,0.313441
-1.548869,-0.799086,-0.412347
0.652392,1.321118,0.305228
-0.687203,-0.292802,-0.012408
-1.159210,-0.951608,-0.121872
-1.482451,-1.115080,-0.174709
-1.308821,-1.142224,-0.085713
1.151834,-1.104985,0.630561
1.175495,-1.017703,0.626640
1.179717,-1.019352,0.633469
1.193782,-0.826148,0.627916
1.113557,-1.176694,0.627118
1.190546,-1.025144,0.652173
0.869429,-1.442120,0.605396
0.847630,-1.441757,0.582569
0.947367,-1.129204,0.570762
0.936869,-1.145854,0.570666
